unit_id,time,soh,rul_cycles,eol_cycle
BV08TR_0001,0,0.9877032769982592,62,62
BV08TR_0001,1,0.9846884841194664,61,62
BV08TR_0001,2,0.9815662747541362,60,62
BV08TR_0001,3,0.9784291060624954,59,62
BV08TR_0001,4,0.9753741808612102,58,62
BV08TR_0001,5,0.9723844369301639,57,62
BV08TR_0001,6,0.9693318597498605,56,62
BV08TR_0001,7,0.9663548287771765,55,62
BV08TR_0001,8,0.9633290525544598,54,62
BV08TR_0001,9,0.960396737693898,53,62
BV08TR_0001,10,0.957349204443194,52,62
BV08TR_0001,11,0.9542960394365388,51,62
BV08TR_0001,12,0.9511905859366515,50,62
BV08TR_0001,13,0.9482532552132995,49,62
BV08TR_0001,14,0.9452482951709114,48,62
BV08TR_0001,15,0.94217208228364,47,62
BV08TR_0001,16,0.9392063288385508,46,62
BV08TR_0001,17,0.9362915209205935,45,62
BV08TR_0001,18,0.9332530915886672,44,62
BV08TR_0001,19,0.9303380039175368,43,62
BV08TR_0001,20,0.9274491234321518,42,62
BV08TR_0001,21,0.9243366162658004,41,62
BV08TR_0001,22,0.9214861356894315,40,62
BV08TR_0001,23,0.9185388561362592,39,62
BV08TR_0001,24,0.9156240705689904,38,62
BV08TR_0001,25,0.9126468006443872,37,62
BV08TR_0001,26,0.9096496191465615,36,62
BV08TR_0001,27,0.9066268107922638,35,62
BV08TR_0001,28,0.9036074227484502,34,62
BV08TR_0001,29,0.9006785477789634,33,62
BV08TR_0001,30,0.8975994999846918,32,62
BV08TR_0001,31,0.8946927856855795,31,62
BV08TR_0001,32,0.8917019338059897,30,62
BV08TR_0001,33,0.8886606669604449,29,62
BV08TR_0001,34,0.8857827517456242,28,62
BV08TR_0001,35,0.882856857135862,27,62
BV08TR_0001,36,0.879960210289722,26,62
BV08TR_0001,37,0.87701175739581,25,62
BV08TR_0001,38,0.8740034851255833,24,62
BV08TR_0001,39,0.87096095354732,23,62
BV08TR_0001,40,0.8678461950910776,22,62
BV08TR_0001,41,0.8648870846967934,21,62
BV08TR_0001,42,0.8618227106590546,20,62
BV08TR_0001,43,0.8586741180785749,19,62
BV08TR_0001,44,0.8557342600551802,18,62
BV08TR_0001,45,0.852606503863525,17,62
BV08TR_0001,46,0.8495499632113704,16,62
BV08TR_0001,47,0.846446579053665,15,62
BV08TR_0001,48,0.8433640880539545,14,62
BV08TR_0001,49,0.8403408085997892,13,62
BV08TR_0001,50,0.83732230626278,12,62
BV08TR_0001,51,0.8342064322960688,11,62
BV08TR_0001,52,0.8311060856680096,10,62
BV08TR_0001,53,0.8280141781573457,9,62
BV08TR_0001,54,0.8248640714602206,8,62
BV08TR_0001,55,0.8216459339805764,7,62
BV08TR_0001,56,0.8185541116855582,6,62
BV08TR_0001,57,0.8153856666944377,5,62
BV08TR_0001,58,0.8123777765299397,4,62
BV08TR_0001,59,0.8093180206893189,3,62
BV08TR_0001,60,0.8061751694150205,2,62
BV08TR_0001,61,0.80297331572576,1,62
BV08TR_0001,62,0.7998778597257558,0,62
BV08TR_0002,0,1.0385265660494623,75,75
BV08TR_0002,1,1.0353669697942012,74,75
BV08TR_0002,2,1.03220442452644,73,75
BV08TR_0002,3,1.0290397034312564,72,75
BV08TR_0002,4,1.025881902842907,71,75
BV08TR_0002,5,1.0226722554639425,70,75
BV08TR_0002,6,1.0195153984822354,69,75
BV08TR_0002,7,1.016395877242733,68,75
BV08TR_0002,8,1.0133804825445905,67,75
BV08TR_0002,9,1.0101463037951484,66,75
BV08TR_0002,10,1.0069200169246943,65,75
BV08TR_0002,11,1.0037300357092565,64,75
BV08TR_0002,12,1.00044914822065,63,75
BV08TR_0002,13,0.997091179291218,62,75
BV08TR_0002,14,0.9937559145818444,61,75
BV08TR_0002,15,0.9904898742211274,60,75
BV08TR_0002,16,0.9871806669649886,59,75
BV08TR_0002,17,0.984006829128188,58,75
BV08TR_0002,18,0.9808312879030815,57,75
BV08TR_0002,19,0.9776051943384972,56,75
BV08TR_0002,20,0.974171676087075,55,75
BV08TR_0002,21,0.9708367579572815,54,75
BV08TR_0002,22,0.9674241063652712,53,75
BV08TR_0002,23,0.96409883350496,52,75
BV08TR_0002,24,0.9608639756595284,51,75
BV08TR_0002,25,0.9577351855648186,50,75
BV08TR_0002,26,0.954445677176248,49,75
BV08TR_0002,27,0.9511373002806802,48,75
BV08TR_0002,28,0.9478907367313782,47,75
BV08TR_0002,29,0.9444972293914486,46,75
BV08TR_0002,30,0.9411510326860608,45,75
BV08TR_0002,31,0.9378172896189845,44,75
BV08TR_0002,32,0.934617969934088,43,75
BV08TR_0002,33,0.9312212865036104,42,75
BV08TR_0002,34,0.927954300057635,41,75
BV08TR_0002,35,0.9248028787557262,40,75
BV08TR_0002,36,0.9214013279828912,39,75
BV08TR_0002,37,0.918216605697862,38,75
BV08TR_0002,38,0.9148741242401945,37,75
BV08TR_0002,39,0.9115870083946005,36,75
BV08TR_0002,40,0.908306870721468,35,75
BV08TR_0002,41,0.9051664369492155,34,75
BV08TR_0002,42,0.9019147780415478,33,75
BV08TR_0002,43,0.8986046253981858,32,75
BV08TR_0002,44,0.8952860886754873,31,75
BV08TR_0002,45,0.8921091666518488,30,75
BV08TR_0002,46,0.8888883435142415,29,75
BV08TR_0002,47,0.8854717692506522,28,75
BV08TR_0002,48,0.882224029433011,27,75
BV08TR_0002,49,0.8790290712854684,26,75
BV08TR_0002,50,0.8757888515457233,25,75
BV08TR_0002,51,0.8724438473021845,24,75
BV08TR_0002,52,0.8691769032542674,23,75
BV08TR_0002,53,0.8659890094640486,22,75
BV08TR_0002,54,0.862893407295024,21,75
BV08TR_0002,55,0.8597870938174348,20,75
BV08TR_0002,56,0.8567814523508924,19,75
BV08TR_0002,57,0.8535542291269733,18,75
BV08TR_0002,58,0.8504334861543972,17,75
BV08TR_0002,59,0.8474325826465214,16,75
