unit_id,split,is_id_core
BV08TR_0001,train,True
BV08TR_0002,train,True
BV08TR_0003,train,True
BV08TR_0004,train,True
BV08TR_0005,train,True
BV08TR_0006,train,False
BV08TR_0007,train,True
BV08TR_0008,train,False
BV08TR_0009,train,True
BV08TR_0010,train,True
BV08TR_0011,train,True
BV08TR_0012,train,True
BV08TR_0013,train,True
BV08TR_0014,train,False
BV08TR_0015,train,True
BV08TR_0016,train,True
BV08TR_0017,train,True
BV08TR_0018,train,True
BV08TR_0019,train,False
BV08TR_0020,train,False
BV08TR_0021,train,False
BV08TR_0022,train,True
BV08TR_0023,train,True
BV08TR_0024,train,True
BV08TR_0025,train,True
BV08TR_0026,train,True
BV08TR_0027,train,True
BV08TR_0028,train,True
BV08TR_0029,train,False
BV08TR_0030,train,True
BV08TR_0031,train,True
BV08TR_0032,train,False
BV08TR_0033,train,True
BV08TR_0034,train,True
BV08TR_0035,train,True
BV08TR_0036,train,True
BV08TR_0037,train,True
BV08TR_0038,train,True
BV08TR_0039,train,False
BV08TR_0040,train,True
BV08TR_0041,train,False
BV08TR_0042,train,True
BV08TR_0043,train,True
BV08TR_0044,train,True
BV08TR_0045,train,True
BV08TR_0046,train,False
BV08TR_0047,train,False
BV08TR_0048,train,True
BV08TR_0049,train,True
BV08TR_0050,train,True
BV08TR_0051,train,True
BV08TR_0052,train,True
BV08TR_0053,train,False
BV08TR_0054,train,True
BV08TR_0055,train,True
BV08TR_0056,train,False
BV08TR_0057,train,True
BV08TR_0058,train,False
BV08TR_0059,train,True
BV08TR_0060,train,True
BV08TR_0061,train,True
BV08TR_0062,train,True
BV08TR_0063,train,True
BV08TR_0064,train,True
BV08TR_0065,train,True
BV08TR_0066,train,True
BV08TR_0067,train,True
BV08TR_0068,train,True
BV08TR_0069,train,True
BV08TR_0070,train,True
BV08TR_0071,train,True
BV08TR_0072,train,True
BV08TR_0073,train,True
BV08TR_0074,train,True
BV08TR_0075,train,True
BV08TR_0076,train,True
BV08TR_0077,train,True
BV08TR_0078,train,True
BV08TR_0079,train,False
BV08TR_0080,train,True
