source_dataset,unit_id,rows,first_time,last_time,eol_efc
NASA_ALT26,ALT26_recommissioned_battery02,14,0.0,229.4442853335549,229.4442853335549
NASA_ALT26,ALT26_recommissioned_battery03,13,0.0,201.98500668788813,201.98500668788813
NASA_ALT26,ALT26_recommissioned_battery12,20,0.0,299.0894154025855,299.0894154025855
NASA_ALT26,ALT26_recommissioned_battery24,20,0.0,296.85519152052893,296.85519152052893
NASA_ALT26,ALT26_recommissioned_battery25,18,0.0,291.9617088636024,291.9617088636024
NASA_ALT26,ALT26_recommissioned_battery32,15,0.0,244.864659304735,244.864659304735
NASA_ALT26,ALT26_recommissioned_battery33,15,0.0,237.73997493874,237.73997493874
NASA_ALT26,ALT26_regular_alt_battery01,30,0.0,519.5934260008734,519.5934260008734
NASA_ALT26,ALT26_regular_alt_battery11,32,0.0,540.8473503305232,540.8473503305232
NASA_ALT26,ALT26_regular_alt_battery22,22,0.0,363.3029562546676,363.3029562546676
NASA_ALT26,ALT26_regular_alt_battery31,21,0.0,355.17850354393624,355.17850354393624
NASA_ALT26,ALT26_regular_alt_battery41,16,0.0,266.5944020374423,266.5944020374423
