unit_id,time,capacity_ah,soh
B0005,0,1.8564874208181574,0.9282437104090787
B0005,1,1.846327249719927,0.9231636248599635
B0005,2,1.8353491942234077,0.9176745971117038
B0005,3,1.8352625275821128,0.9176312637910564
B0005,4,1.8346455082120419,0.9173227541060209
B0005,5,1.8356616600675495,0.9178308300337747
B0005,6,1.8351461429226603,0.9175730714613302
B0005,7,1.8257567905665537,0.9128783952832769
B0005,8,1.8247738529891333,0.9123869264945667
B0005,9,1.824613268496936,0.912306634248468
B0005,10,1.8246195526864504,0.9123097763432252
B0005,11,1.8142019357673917,0.9071009678836959
B0005,12,1.8137521577549054,0.9068760788774527
B0005,13,1.8134404914735822,0.9067202457367911
B0005,14,1.8025980036306504,0.9012990018153252
B0005,15,1.80210690024615,0.901053450123075
B0005,16,1.802579500826209,0.9012897504131046
B0005,17,1.8030683142834096,0.9015341571417048
B0005,18,1.8027776247196041,0.9013888123598021
B0005,19,1.8470259949329193,0.9235129974664597
B0005,20,1.847417311283644,0.923708655641822
B0005,21,1.8361774213478947,0.9180887106739474
B0005,22,1.8257807475776242,0.9128903737888121
B0005,23,1.8251136435078368,0.9125568217539184
B0005,24,1.8255815042203762,0.9127907521101881
B0005,25,1.8140311275083907,0.9070155637541953
B0005,26,1.8147691941158939,0.9073845970579469
B0005,27,1.813969388710352,0.906984694355176
B0005,28,1.802765665167823,0.9013828325839115
B0005,29,1.804077040117352,0.902038520058676
B0005,30,1.8518025516704486,0.9259012758352243
B0005,31,1.8307038456739428,0.9153519228369714
B0005,32,1.8199041089501267,0.9099520544750633
B0005,33,1.8093079637028517,0.9046539818514259
B0005,34,1.80460990458052,0.90230495229026
B0005,35,1.7993770651972192,0.8996885325986096
B0005,36,1.7884432335370462,0.8942216167685231
B0005,37,1.7829230484252723,0.8914615242126361
B0005,38,1.7730337158018288,0.8865168579009144
B0005,39,1.773037755078937,0.8865188775394685
B0005,40,1.7678721106662054,0.8839360553331027
B0005,41,1.7623150704093087,0.8811575352046543
B0005,42,1.7676172924938447,0.8838086462469223
B0005,43,1.762668359743147,0.8813341798715735
B0005,44,1.7517304870664143,0.8758652435332072
B0005,45,1.7418496047960008,0.8709248023980004
B0005,46,1.7360913511847138,0.8680456755923569
B0005,47,1.7936240148573608,0.8968120074286804
B0005,48,1.7831890223273275,0.8915945111636637
B0005,49,1.7673642076278957,0.8836821038139479
B0005,50,1.7570177850353066,0.8785088925176533
B0005,51,1.7468706179837907,0.8734353089918954
B0005,52,1.7417172507457144,0.8708586253728572
B0005,53,1.7364225056478186,0.8682112528239093
B0005,54,1.7263217239235826,0.8631608619617913
B0005,55,1.7158065389330133,0.8579032694665066
B0005,56,1.710533351135192,0.855266675567596
B0005,57,1.706014499648521,0.8530072498242605
B0005,58,1.7003110272642588,0.8501555136321294
